"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Metamorphic Testing of Autonomous Vehicles: A Case Study on Simulink","P. Valle","Mondragon University, Spain",2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"7 May 2021","2021","","","105","107","Autonomous Vehicles (AVs) will revolutionize the way people travel by car. However, in order to deploy autonomous vehicles, effective testing techniques are required. The driving quality of an AV should definitely be considered when testing such systems. However, as in other complex systems, determining the outcome of a test in the driving quality on an AV can be extremely complex. To solve this issue, in this paper we explore the application of Quality-of-Service (QoS) aware metamorphic testing to test AVs modeled in MATLAB/Simulink, one of the predominant modeling tools in the market. We first defined a set of QoS measures applied to AVs by considering as input a recent study. With them, we define metamorphic relations. Lastly we assess the approach in an AV modeled in Simulink by using mutation testing. The results suggests that our approach is effective at detecting faults.","2574-1926","978-1-6654-1219-3","10.1109/ICSE-Companion52605.2021.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402306","Autonomous Vehicles;Metamorphic Testing;Matlab & Simulink","Software packages;Quality of service;Tools;Mathematical model;Autonomous vehicles;Testing;Software engineering","","4","","25","IEEE","7 May 2021","","","IEEE","IEEE Conferences"
"Summary of “An empirical comparison of combinatorial testing and search-based testing in the context of automated and autonomous driving systems”","F. Klück; Y. Li; J. Tao; F. Wotawa","AVL Li st GmbH, Graz, Austria; School of Information and Electrical Engineering, Ludong University, Yantai, China; AVL Li st GmbH, Graz, Austria; CD Lab for Quality Assurance Methodologies for Autonomous Cyber-Physical Systems (QAMCAS), Institute of Software Technology Graz University of Technology, Graz, Austria","2024 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","17 Sep 2024","2024","","","178","179","In automated and autonomous driving, we need to verify the behavior considering critical interactions with the environment. To find such interactions, we need an appropriate test suite generation methodology. This paper summarizes the findings we published last year in a journal comparing combinatorial, search-based, and random testing utilizing the same input model. We focused on detecting faults and combinatorial coverage, considering two automated emergency braking function implementations in our experimental evaluation.","2159-4848","979-8-3503-4479-0","10.1109/ICSTW60967.2024.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10675973","Automated ADAS testing;automated testing for autonomous driving;comparing testing methodologies;combinatorial testing;search-based testing;random testing","Conferences;Combinatorial testing;Computer crashes;Autonomous vehicles","","","","8","IEEE","17 Sep 2024","","","IEEE","IEEE Conferences"
"Automatically Reconstructing Car Crashes from Police Reports for Testing Self-Driving Cars","A. Gambi; T. Huynh; G. Fraser","University of Passau, Passau, Germany; Saarland University/CISPA, Saarbruecken, Germany; University of Passau, Passau, Germany",2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"19 Aug 2019","2019","","","290","291","Autonomous driving carries the promise to drastically reduce the number of car accidents; however, recently reported fatal crashes involving self-driving cars show this important goal is not yet achieved, and call for better testing of the software controlling self-driving cars. To better test self-driving car software, we propose to specifically test critical scenarios. Since these are difficult to test in field operation, we create simulations of critical situations. These simulations are automatically derived from natural language police reports of actual car crashes, which are available in historical datasets. Our initial evaluation shows that we can generate accurate simulations in a matter of minutes.","2574-1934","978-1-7281-1764-5","10.1109/ICSE-Companion.2019.00119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802678","test case generation;self-driving cars;natural language processing;procedural content generation","Automobiles;Accidents;Law enforcement;Autonomous automobiles;Vehicle crash testing;Software;Testing","","5","","13","IEEE","19 Aug 2019","","","IEEE","IEEE Conferences"
"Adaptive Fault Detection and Emergency Control of Autonomous Vehicles for Fail-Safe Systems Using a Sliding Mode Approach","J. Lee; K. Oh; Y. Yoon; T. Song; T. Lee; K. Yi","Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, South Korea; School of ICT, Robotics and Mechanical Engineering, Hankyong National University, Anseong-si, South Korea; Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, South Korea; Department of Research Engineering, Smart Mobility Laboratory, SML Company Ltd., Seoul, South Korea; Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, South Korea; Department of Mechanical and Aerospace Engineering, Seoul National University, Seoul, South Korea",IEEE Access,"17 Mar 2022","2022","10","","27863","27880","This paper presents a sliding mode-based adaptive fault detection and emergency control algorithm for implementation in fail-safe systems of autonomous vehicles. The overall algorithm is comprised of a fault detection part and a fail-safe control part. For the former, sliding mode observer-based fault detection algorithms were developed for environment and chassis sensors, including LiDAR, Radar, and acceleration sensors. Unidentified fault signals from the sensors are reconstructed through the adaptive sliding mode observer. The reconstruction is based on the MIT rule through the use of an estimated sensitivity parameter. For the latter, a sliding mode control (SMC)-based emergency control method designed to respond to fault occurrences has been proposed to ensure the functional safety of autonomous vehicles. An adaptive gain parameter was designed, taking convergence time into consideration, to secure consistent and rapid responses from the controller. When the detection algorithm detects a fault, the appropriate control input is computed by a lower controller for the vehicle. This control input is calculated based on the last scene information obtained from an upper controller. The performance of the proposed fault detection and control algorithms has been evaluated through simulations and actual vehicle tests of various scenarios.","2169-3536","","10.1109/ACCESS.2022.3155738","Engineering Research Institute at the College of Engineering of Seoul National University, Seoul, South Korea; Brain Korea 21 Fostering Outstanding Universities for Research (FOUR) Project, in 2022; Institute of Engineering Research at Seoul National University provided research facilities for this work; Seoul National University-Institute of Advanced Machines and Design (SNU-IAMD); Future Mobility Technical Center (FMTC) of Seoul National University, Seoul; Program (Sensor Fusion with 4D Image Radar and Commercialization Elements Analysis for Automated Vehicle Demonstration) by the Ministry of Science and ICT, South Korea(grant numbers:0690-20200039); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724204","Adaptive sliding mode observer;autonomous vehicle;fail-safe;fault detection;fault reconstruction;sliding mode control","Autonomous vehicles;Observers;Fault detection;Fault diagnosis;Actuators;Convergence;Sliding mode control","","8","","63","CCBY","2 Mar 2022","","","IEEE","IEEE Journals"
"Generating Avoidable Collision Scenarios for Testing Autonomous Driving Systems","A. Calò; P. Arcaini; S. Ali; F. Hauer; F. Ishikawa","Technical University of Munich, Munich, Germany; National Institute of Informatics, Tokyo, Japan; Simula Research Laboratory, Oslo, Norway; Technical University of Munich, Munich, Germany; National Institute of Informatics, Tokyo, Japan","2020 IEEE 13th International Conference on Software Testing, Validation and Verification (ICST)","5 Aug 2020","2020","","","375","386","Automated and autonomous driving systems (ADS) are a transformational technology in the mobility sector. Current practice for testing ADS uses virtual tests in computer simulations; search-based approaches are used to find particularly dangerous situations, possibly collisions. However, when a collision is found, it is not always easy to automatically assess whether the ADS should have been able to avoid it, without relying on offline analyses by domain experts. In this paper, we propose a definition of avoidable collision that does not rely on any domain knowledge, but only on the fact that it is possible to reconFigure the ADS (in our case, the path planner component provided by our industry partner) in a way that the collision is avoided. Based on this definition, we propose two search-based approaches for finding avoidable collisions. The first one (named sequential approach), based on current industrial practice, first searches for a collision, and then searches for an alternative configuration of the ADS which avoids it. The second one (named combined approach), instead, searches at the same time for the collision and for the alternative configuration which avoids it. Experiments show that the combined approach finds more avoidable collisions, even when the sequential approach doesn't find any; indeed, the sequential approach, in the first search, may find too severe collisions for which there is no alternative configuration that can avoid them.","2159-4848","978-1-7281-5778-8","10.1109/ICST46399.2020.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9159061","autonomous driving;path planner;avoidable collision;search-based testing","Automobiles;Testing;Safety;Industries;Autonomous vehicles;Autonomous automobiles;Acceleration","","59","","38","IEEE","5 Aug 2020","","","IEEE","IEEE Conferences"
"Safety Testing of Automated Driving Systems: A Literature Review","F. Khan; M. Falco; H. Anwar; D. Pfahl","Institute of Computer Science, University of Tartu, Tartu, Estonia; Institute of Computer Science, University of Tartu, Tartu, Estonia; Institute of Computer Science, University of Tartu, Tartu, Estonia; Institute of Computer Science, University of Tartu, Tartu, Estonia",IEEE Access,"2 Nov 2023","2023","11","","120049","120072","The advancement of automation in safety-critical systems has opened the door to newer opportunities in several fields. However, the increasing complexity has led to more risks and the need for better safety assessment. Safety testing of Automated Driving Systems (ADS) became an important research topic due to the potential benefits of reducing traffic congestion, time, and even accidents; however, safety remains an ongoing issue. We analyzed the existing literature from the past twenty-five years by performing backward snowballing to identify the proposed safety testing approaches for ADS. From 44 selected publications, we identified safety features, testing methods, techniques, tools, and datasets used for testing an ADS, considering both multi-module and end-to-end driving systems. The community is mostly focused on multi-module driving systems, working on units of functionality related to collision avoidance, lane keeping, and warnings, testing the vehicles on-road and in simulated environments with different driving scenarios, combining different methods and techniques, and proposing custom solutions. A major research gap seems to be the lack of safety testing approaches integrating the advantages of on-road testing with simulation testing. For future research, this study provides an introductory overview of the field for researchers and practitioners interested in ADS safety testing.","2169-3536","","10.1109/ACCESS.2023.3327918","Estonian Center of Excellence in ICT Research (EXCITE); European Social Fund via IT Academy Program; Austrian Ministries BMVIT and BMDW; Province of Upper Austria through the Competence Centers for Excellent Technologies (COMET) Program managed by FFG, the Estonian Research Council(grant numbers:PRG1226); Bolt Technology OÜ; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10296892","Automated driving systems;ADS safety features;literature review;operation design domain;safety testing","Safety;Testing;Vehicles;Automation;Taxonomy;Task analysis;Standards;Autonomous driving","","3","","50","CCBYNCND","26 Oct 2023","","","IEEE","IEEE Journals"
"Testing Object Detection for Autonomous Driving Systems via 3D Reconstruction","J. Shao","School of Computer Science, Wuhan University, Wuhan, China",2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"7 May 2021","2021","","","117","119","Object detection is to identify objects from images. In autonomous driving systems, object detection serves as an intermediate module, which is used as the input of autonomous decisions for vehicles. That is, the accuracy of autonomous decisions relies on the object detection. The state-of-the-art object detection modules are designed based on Deep Neural Networks (DNNs). It is difficult to employ white-box testing on DNNs since the output of a single neuron is inexplicable. Existing work conducted metamorphic testing for object detection via image synthesis: the detected object in the original image should be detected in the new synthetic image. However, a synthetic image may not look real from humans' perspective. Even the object detection module fails in detecting such synthetic image, the failure may not reflect the ability of object detection. In this paper, we propose an automatic approach to testing object detection via 3D reconstruction of vehicles in real photos. The 3D reconstruction is developed via vanishing point estimation in photos and heuristic based image insertion. Our approach adds new objects to blank spaces in photos to synthesize images. For example, a new vehicle can be added to a photo of a road and vehicles. In this approach, the output synthetic images are expected to be more natural-looking than randomly synthesizing images. The experiment is conducting on 500 driving photos from the Apollo autonomous driving dataset.","2574-1926","978-1-6654-1219-3","10.1109/ICSE-Companion52605.2021.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402601","metamorphic testing;object detection system;vanishing point;image processing","Solid modeling;Three-dimensional displays;Estimation;Object detection;Autonomous vehicles;Testing;Software engineering","","8","","15","IEEE","7 May 2021","","","IEEE","IEEE Conferences"
"A Reliability Analysis of Self-Driving Vehicles: Evaluating the Safety and Performance of Autonomous Driving Systems","A. Pradeep; M. Bakoev; N. Akhroljonova","Software Engineering, New Uzbekistan University, Tashkent, Uzbekistan; Industrial Management, New Uzbekistan University, Tashkent, Uzbekistan; Industrial Management, New Uzbekistan University, Tashkent, Uzbekistan","2023 15th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)","2 Aug 2023","2023","","","1","5","Self-driving cars are a ground-breaking invention with the potential to revolutionize the transportation sector. As technology develops, it is more crucial than ever to guarantee the dependability of self-driving cars. The dependability analysis of self-driving cars is the main topic of this research article. The multiple levels of automation in self-driving cars and their accompanying reliability requirements are covered in the first section of the study. Afterwards, it examines the many parts of a self-driving car system, such as the perception, decision-making, and control subsystems, and talks about the dependability issues that each of these parts faces. The paper ends by highlighting the value of reliability analysis in ensuring the security and wide acceptance of self-driving cars. In order to overcome the remaining issues and provide more sophisticated methods for self-driving car dependability evaluations, the report advocates for additional research.","","979-8-3503-2138-8","10.1109/ECAI58194.2023.10194188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10194188","reliability analysis;automation levels;perception;decision-making;control;safety;self-driving cars","Industries;Roads;Government;Transportation;Regulation;Autonomous automobiles;Safety","","","","17","IEEE","2 Aug 2023","","","IEEE","IEEE Conferences"
"Mind the Gap! A Study on the Transferability of Virtual Versus Physical-World Testing of Autonomous Driving Systems","A. Stocco; B. Pulfer; P. Tonella","Università della Svizzera italiana, Lugano, Switzerland; University of Geneva, Geneva, Switzerland; Università della Svizzera italiana, Lugano, Switzerland",IEEE Transactions on Software Engineering,"18 Apr 2023","2023","49","4","1928","1940","Safe deployment of self-driving cars (SDC) necessitates thorough simulated and in-field testing. Most testing techniques consider virtualized SDCs within a simulation environment, whereas less effort has been directed towards assessing whether such techniques transfer to and are effective with a physical real-world vehicle. In this paper, we shed light on the problem of generalizing testing results obtained in a driving simulator to a physical platform and provide a characterization and quantification of the sim2real gap affecting SDC testing. In our empirical study, we compare SDC testing when deployed on a physical small-scale vehicle versus its digital twin. Due to the unavailability of driving quality indicators from the physical platform, we use neural rendering to estimate them through visual odometry, hence allowing full comparability with the digital twin. Then, we investigate the transferability of behavior and failure exposure between virtual and real-world environments, targeting both unintended abnormal test data and intended adversarial examples. Our study shows that, despite the usage of a faithful digital twin, there are still critical shortcomings that contribute to the reality gap between the virtual and physical world, threatening existing testing solutions that only consider virtual SDCs. On the positive side, our results present the test configurations for which physical testing can be avoided, either because their outcome does transfer between virtual and physical environments, or because the uncertainty profiles in the simulator can help predict their outcome in the real world.","1939-3520","","10.1109/TSE.2022.3202311","ERC Advanced 2017 Program ERC(grant numbers:787703); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9869302","AI testing;self-driving cars;simulated testing;real-world testing;deep neural networks;autonomous vehicles","Testing;Automobiles;Roads;Behavioral sciences;Uncertainty;Predictive models;Safety","","36","","82","IEEE","29 Aug 2022","","","IEEE","IEEE Journals"
"Analysis of Road Representations in Search-Based Testing of Autonomous Driving Systems","E. Castellano; A. Cetinkaya; P. Arcaini","National Institute of Informatics, Tokyo, Japan; National Institute of Informatics, Tokyo, Japan; National Institute of Informatics, Tokyo, Japan","2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)","10 Mar 2022","2021","","","167","178","Validating Autonomous Driving Systems (ADSs) is essential to ensure that the ADS meets the necessary requirements to be widely accepted. Simulation-based testing is one of the main validation approaches, in which the ADS is run in a simulated environment over different scenarios. In this context, search-based testing (SBT) is used to generate scenarios that possibly expose particular failures of the ADS under test. Most SBT approaches search for behaviors of other traffic participants, but usually fix the road map of the scenario in advance. Recently, the SBT community started investigating the search for road structures, which is particularly useful when testing specific components of the ADS, such as the lane-keeping component. However, roads can be represented in multiple ways and the impact of using a particular representation on the effectiveness of SBT is unclear. To fill this gap, this paper investigates the usage of six road representations for SBT of ADSs. As a representative SBT approach, we test the lane-keeping component of an ADS in the BeamNG.tech simulator, aiming to generate roads in which the autonomous vehicle drives off the lane. We study the effectiveness of each road representation in terms of triggered failures and also diversity of the generated roads.","2693-9177","978-1-6654-5813-9","10.1109/QRS54544.2021.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724804","Autonomous Driving Systems;Search-Based Testing;Simulation-Based Testing;Road Representation","Roads;Conferences;Software quality;Software reliability;Security;Autonomous vehicles;Testing","","9","","40","IEEE","10 Mar 2022","","","IEEE","IEEE Conferences"
"A Convolutional Neural Network Approach Towards Self-Driving Cars","A. Agnihotri; P. Saraf; K. R. Bapnad","Department of Mechanical Engineering, Birla Institute of Technology and Science – Pilani, Hyderabad, India; Department of Electrical & Electronics Engineering, Birla Institute of Technology and Science – Pilani, Hyderabad, India; Department of Electrical & Electronics Engineering, Birla Institute of Technology and Science – Pilani, Hyderabad, India",2019 IEEE 16th India Council International Conference (INDICON),"12 Mar 2020","2019","","","1","4","A convolutional neural network (CNN) approach is used to implement a level 2 autonomous vehicle by mapping pixels from the camera input to the steering commands. The network automatically learns the maximum variable features from the camera input, hence requires minimal human intervention. Given realistic frames as input, the driving policy trained on the dataset by NVIDIA and Udacity can adapt to real-world driving in a controlled environment. The CNN is tested on the CARLA open-source driving simulator. Details of a beta-testing platform are also presented, which consists of an ultrasonic sensor for obstacle detection and an RGBD camera for real-time position monitoring at 10Hz. RRT*-Connect algorithm is used for path planning. Arduino Mega and Raspberry Pi are used for motor control and processing respectively to output the steering angle, which is converted to angular velocity for steering.","2325-9418","978-1-7281-2327-1","10.1109/INDICON47234.2019.9030307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9030307","convolutional neural networks;self-driving cars;machine learning","Robot sensing systems;Acoustics;Cameras;Roads;Autonomous vehicles;Neural networks","","17","","12","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"A Fault Detection and Diagnosis System for Autonomous Vehicles Based on Hybrid Approaches","Y. Fang; H. Min; W. Wang; Z. Xu; X. Zhao","School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China",IEEE Sensors Journal,"17 Jul 2020","2020","20","16","9359","9371","An accurate fault detection and diagnosis system is of great importance for autonomous vehicles to prevent the potential hazardous situations. In this paper, we propose a fault detection and diagnosis system based on hybrid approaches. First, to detect the state faults of the autonomous vehicle, One-Class Support Vector Machine (SVM) method is adopted to train the boundary curve which separates the safe domain and unsafe domain. Meanwhile, a Kalman filter observer is designed based on the linear kinematic vehicle bicycle model to predict the current position of the vehicle, and after obtaining the residuals between prediction and measurement, Jarque-Bera test is applied to check the normality of the residuals probability distribution to monitor whether the trajectory deviates. Furthermore, we design a fuzzy system to distinguish the types of the detected faults based on a modified neutral network, in which a membership function layer is added after the input layer. With the strong self-learning ability of neutral network, the initial membership function of the fuzzy system is updated through black box test and can indicate the probability of each fault type. Experiments on the real autonomous vehicle platform ‘Xinda’ and performance comparison with other fault detectors validate the effectiveness of these methods and the usability of the fault detection and diagnosis system.","1558-1748","","10.1109/JSEN.2020.2987841","National Natural Science Foundation of China(grant numbers:61903046); National Key Research and Development Program of China(grant numbers:2019YFB1600100); Overseas Expertise Introduction Project for Discipline Innovation(grant numbers:B14043); Joint Laboratory for Internet of Vehicles, Ministry of Education-China Mobile Communications Corporation(grant numbers:213024170015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066934","Fault detection and diagnosis for autonomous vehicles;one-class SVM;residuals distribution inference;neutral network;black box test","Fault detection;Sensors;Autonomous vehicles;Fault diagnosis;Support vector machines;Trajectory;Redundancy","","40","","37","IEEE","14 Apr 2020","","","IEEE","IEEE Journals"
"Predicting Safety Misbehaviours in Autonomous Driving Systems Using Uncertainty Quantification","R. Grewal; P. Tonella; A. Stocco","Technical University of Munich, Munich, Germany; Software Institute - USI, Lugano, Switzerland; Technical University of Munich, Fortiss GmbH, Munich, Germany","2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","27 Aug 2024","2024","","","70","81","The automated real-time recognition of unexpected situations plays a crucial role in the safety of autonomous vehicles, especially in unsupported and unpredictable scenarios. This paper evaluates different Bayesian uncertainty quantification methods from the deep learning domain for the anticipa-tory testing of safety-critical misbehaviours during system-level simulation-based testing. Specifically, we compute uncertainty scores as the vehicle executes, following the intuition that high uncertainty scores are indicative of unsupported runtime conditions that can be used to distinguish safe from failure-inducing driving behaviors. In our study, we conducted an evaluation of the effectiveness and computational overhead associated with two Bayesian uncertainty quantification methods, namely Me-Dropout and Deep Ensembles, for misbehaviour avoidance. Over-all, for three benchmarks from the Udacity simulator comprising both out-of-distribution and unsafe conditions introduced via mutation testing, both methods successfully detected a high number of out-of-bounds episodes providing early warnings several seconds in advance, outperforming two state-of-the-art misbehaviour prediction methods based on autoencoders and attention maps in terms of effectiveness and efficiency. Notably, Deep Ensembles detected most misbehaviours without any false alarms and did so even when employing a relatively small number of models, making them computationally feasible for real-time detection. Our findings suggest that incorporating uncertainty quantification methods is a viable approach for building fail-safe mechanisms in deep neural network-based autonomous vehicles.","2159-4848","979-8-3503-0818-1","10.1109/ICST60714.2024.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638606","autonomous vehicles testing;uecertainty quantification;self-driving cars;failure prediction","Software testing;Deep learning;Uncertainty;Runtime;Computational modeling;Prediction methods;Real-time systems","","4","","73","IEEE","27 Aug 2024","","","IEEE","IEEE Conferences"
